date,percentage_score
2020-01-01,68
2020-01-02,82
2020-01-03,72
2020-01-04,22
2020-01-05,95
2020-01-06,34
2020-01-07,45
2020-01-08,11
2020-01-09,78
2020-01-10,83
2020-01-11,43
2020-01-12,7
2020-01-13,47
2020-01-14,47
2020-01-15,79
2020-01-16,13
2020-01-17,52
2020-01-18,14
2020-01-19,99
2020-01-20,100
2020-01-21,46
2020-01-22,83
2020-01-23,67
2020-01-24,39
2020-01-25,53
2020-01-26,66
2020-01-27,61
2020-01-28,48
2020-01-29,37
2020-01-30,99
2020-01-31,2
2020-02-01,44
2020-02-02,43
2020-02-03,75
2020-02-04,54
2020-02-05,26
2020-02-06,39
2020-02-07,30
2020-02-08,54
2020-02-09,92
2020-02-10,93
2020-02-11,7
2020-02-12,95
2020-02-13,97
2020-02-14,44
2020-02-15,54
2020-02-16,71
2020-02-17,63
2020-02-18,22
2020-02-19,96
2020-02-20,9
2020-02-21,96
2020-02-22,87
2020-02-23,67
2020-02-24,98
2020-02-25,19
2020-02-26,99
2020-02-27,98
2020-02-28,28
2020-02-29,24
2020-03-01,14
2020-03-02,64
2020-03-03,93
2020-03-04,11
2020-03-05,71
2020-03-06,31
2020-03-07,53
2020-03-08,67
2020-03-09,21
2020-03-10,70
2020-03-11,42
2020-03-12,65
2020-03-13,19
2020-03-14,68
2020-03-15,58
2020-03-16,7
2020-03-17,59
2020-03-18,75
2020-03-19,56
2020-03-20,95
2020-03-21,86
2020-03-22,88
2020-03-23,92
2020-03-24,0
2020-03-25,37
2020-03-26,13
2020-03-27,71
2020-03-28,89
2020-03-29,41
2020-03-30,57
2020-03-31,41
2020-04-01,41
2020-04-02,47
2020-04-03,89
2020-04-04,58
2020-04-05,29
2020-04-06,37
2020-04-07,100
2020-04-08,24
2020-04-09,16
2020-04-10,13
2020-04-11,51
2020-04-12,90
2020-04-13,96
2020-04-14,70
2020-04-15,49
2020-04-16,43
2020-04-17,49
2020-04-18,85
2020-04-19,97
2020-04-20,80
2020-04-21,100
2020-04-22,67
2020-04-23,100
2020-04-24,80
2020-04-25,84
2020-04-26,55
2020-04-27,29
2020-04-28,82
2020-04-29,48
2020-04-30,70
2020-05-01,79
2020-05-02,90
2020-05-03,73
2020-05-04,97
2020-05-05,58
2020-05-06,54
2020-05-07,92
2020-05-08,3
2020-05-09,99
2020-05-10,31
2020-05-11,80
2020-05-12,96
2020-05-13,22
2020-05-14,29
2020-05-15,51
2020-05-16,4
2020-05-17,27
2020-05-18,6
2020-05-19,55
2020-05-20,86
2020-05-21,64
2020-05-22,68
2020-05-23,91
2020-05-24,79
2020-05-25,59
2020-05-26,18
2020-05-27,36
2020-05-28,0
2020-05-29,66
2020-05-30,11
2020-05-31,80
2020-06-01,14
2020-06-02,66
2020-06-03,71
2020-06-04,87
2020-06-05,64
2020-06-06,49
2020-06-07,2
2020-06-08,24
2020-06-09,71
2020-06-10,48
2020-06-11,0
2020-06-12,77
2020-06-13,61
2020-06-14,19
2020-06-15,16
2020-06-16,46
2020-06-17,3
2020-06-18,77
2020-06-19,35
2020-06-20,21
2020-06-21,35
2020-06-22,53
2020-06-23,25
2020-06-24,67
2020-06-25,81
2020-06-26,10
2020-06-27,8
2020-06-28,100
2020-06-29,41
2020-06-30,75
2020-07-01,79
2020-07-02,64
2020-07-03,24
2020-07-04,50
2020-07-05,12
2020-07-06,57
2020-07-07,85
2020-07-08,36
2020-07-09,76
2020-07-10,29
2020-07-11,50
2020-07-12,19
2020-07-13,59
2020-07-14,1
2020-07-15,28
2020-07-16,35
2020-07-17,3
2020-07-18,21
