date,percentage_score
2020-01-01,37
2020-01-02,55
2020-01-03,11
2020-01-04,31
2020-01-05,69
2020-01-06,1
2020-01-07,53
2020-01-08,34
2020-01-09,55
2020-01-10,29
2020-01-11,31
2020-01-12,11
2020-01-13,62
2020-01-14,51
2020-01-15,2
2020-01-16,24
2020-01-17,33
2020-01-18,55
2020-01-19,80
2020-01-20,55
2020-01-21,52
2020-01-22,32
2020-01-23,69
2020-01-24,94
2020-01-25,34
2020-01-26,50
2020-01-27,16
2020-01-28,56
2020-01-29,16
2020-01-30,66
2020-01-31,87
2020-02-01,90
2020-02-02,32
2020-02-03,21
2020-02-04,87
2020-02-05,95
2020-02-06,33
2020-02-07,88
2020-02-08,20
2020-02-09,65
2020-02-10,100
2020-02-11,98
2020-02-12,24
2020-02-13,97
2020-02-14,21
2020-02-15,96
2020-02-16,85
2020-02-17,83
2020-02-18,30
2020-02-19,67
2020-02-20,10
2020-02-21,92
2020-02-22,39
2020-02-23,2
2020-02-24,86
2020-02-25,46
2020-02-26,6
2020-02-27,49
2020-02-28,25
2020-02-29,95
2020-03-01,4
2020-03-02,83
2020-03-03,48
2020-03-04,15
2020-03-05,48
2020-03-06,34
2020-03-07,62
2020-03-08,46
2020-03-09,95
2020-03-10,8
2020-03-11,66
2020-03-12,29
2020-03-13,69
2020-03-14,10
2020-03-15,59
2020-03-16,16
2020-03-17,35
2020-03-18,58
2020-03-19,73
2020-03-20,93
2020-03-21,11
2020-03-22,20
2020-03-23,23
2020-03-24,36
2020-03-25,35
2020-03-26,72
2020-03-27,62
2020-03-28,0
2020-03-29,28
2020-03-30,77
2020-03-31,6
2020-04-01,80
2020-04-02,3
2020-04-03,3
2020-04-04,8
2020-04-05,100
2020-04-06,77
2020-04-07,88
2020-04-08,78
2020-04-09,5
2020-04-10,36
2020-04-11,46
2020-04-12,91
2020-04-13,11
2020-04-14,90
2020-04-15,79
2020-04-16,47
2020-04-17,29
2020-04-18,100
2020-04-19,31
2020-04-20,46
2020-04-21,2
2020-04-22,37
2020-04-23,67
2020-04-24,12
2020-04-25,35
2020-04-26,89
2020-04-27,4
2020-04-28,1
2020-04-29,6
2020-04-30,91
2020-05-01,9
2020-05-02,47
2020-05-03,1
2020-05-04,13
2020-05-05,10
2020-05-06,36
2020-05-07,54
2020-05-08,75
2020-05-09,38
2020-05-10,88
2020-05-11,21
2020-05-12,43
2020-05-13,45
2020-05-14,14
2020-05-15,65
2020-05-16,38
2020-05-17,47
2020-05-18,18
2020-05-19,35
2020-05-20,71
2020-05-21,13
2020-05-22,77
2020-05-23,61
2020-05-24,16
2020-05-25,28
2020-05-26,30
2020-05-27,79
2020-05-28,79
2020-05-29,18
2020-05-30,83
2020-05-31,1
2020-06-01,100
2020-06-02,37
2020-06-03,62
2020-06-04,88
2020-06-05,87
2020-06-06,8
2020-06-07,51
2020-06-08,96
2020-06-09,8
2020-06-10,100
2020-06-11,17
2020-06-12,23
2020-06-13,5
2020-06-14,23
2020-06-15,47
2020-06-16,16
2020-06-17,52
2020-06-18,33
2020-06-19,65
2020-06-20,74
2020-06-21,31
2020-06-22,71
2020-06-23,84
2020-06-24,23
2020-06-25,51
2020-06-26,22
2020-06-27,62
2020-06-28,51
2020-06-29,20
2020-06-30,13
2020-07-01,66
2020-07-02,94
2020-07-03,93
2020-07-04,41
2020-07-05,37
2020-07-06,38
2020-07-07,49
2020-07-08,50
2020-07-09,35
2020-07-10,19
2020-07-11,3
2020-07-12,87
2020-07-13,57
2020-07-14,44
2020-07-15,90
2020-07-16,6
2020-07-17,90
2020-07-18,78
